Name,Mini-Turbo,GroundS,WaterS,GliderS,AGS,Accel,Weight,GroundH,WaterH,GliderH,AGH,Traction,Invincibility
Baby Peach,5,1,1,1,1,4,0,10,10,10,10,5,6
Baby Daisy,5,1,1,1,1,4,0,10,10,10,10,5,6
Baby Rosalina,5,1,1,1,1,5,0,9,9,9,9,3,6
Lemmy,5,1,1,1,1,5,0,9,9,9,9,3,6
Baby Mario,5,2,2,2,2,5,1,8,8,8,8,4,5
Baby Luigi,5,2,2,2,2,5,1,8,8,8,8,4,5
Dry Bones,5,2,2,2,2,5,1,8,8,8,8,4,5
Mii (Light),5,2,2,2,2,5,1,8,8,8,8,4,5
Koopa Troopa,4,3,3,3,3,4,2,8,8,8,8,5,4
Lakitu,4,3,3,3,3,4,2,8,8,8,8,5,4
Bowser Jr.,4,3,3,3,3,4,2,8,8,8,8,5,4
Toadette,4,3,3,3,3,5,2,7,7,7,7,2,3
Wendy,4,3,3,3,3,5,2,7,7,7,7,2,3
Isabelle,4,3,3,3,3,5,2,7,7,7,7,2,3
Toad,4,4,4,4,4,4,3,7,7,7,7,4,3
Shy Guy,4,4,4,4,4,4,3,7,7,7,7,4,3
Larry,4,4,4,4,4,4,3,7,7,7,7,4,3
Cat Peach,4,5,5,5,5,4,3,6,6,6,6,3,3
Villager (Female),4,5,5,5,5,4,3,6,6,6,6,3,3
Inkling Girl,4,5,5,5,5,4,3,6,6,6,6,3,3
Diddy Kong,4,5,5,5,5,4,3,6,6,6,6,3,3
Peach,4,6,6,6,6,3,4,5,5,5,5,3,1
Daisy,4,6,6,6,6,3,4,5,5,5,5,3,1
Birdo,4,6,6,6,6,3,4,5,5,5,5,3,1
Yoshi,4,6,6,6,6,3,4,5,5,5,5,3,1
Peachette,4,6,6,6,6,3,4,5,5,5,5,3,1
Tanooki Mario,4,6,6,6,6,3,5,5,5,5,5,1,1
Inkling Boy,4,6,6,6,6,3,5,5,5,5,5,1,1
Villager (Male),4,6,6,6,6,3,5,5,5,5,5,1,1
Luigi,3,7,7,7,7,2,6,5,5,5,5,1,3
Iggy,3,7,7,7,7,2,6,5,5,5,5,1,3
Kamek,3,7,7,7,7,2,6,5,5,5,5,1,3
Mario,3,7,7,7,7,2,6,4,4,4,4,2,3
Ludwig,3,7,7,7,7,2,6,4,4,4,4,2,3
Mii (Medium),3,7,7,7,7,2,6,4,4,4,4,2,3
Rosalina,2,8,8,8,8,1,7,3,3,3,3,3,4
King Boo,2,8,8,8,8,1,7,3,3,3,3,3,4
Link,2,8,8,8,8,1,7,3,3,3,3,3,4
Pauline,2,8,8,8,8,1,7,3,3,3,3,3,4
Petey Piranha,1,8,8,8,8,1,10,3,3,3,3,1,6
Metal Mario,1,8,8,8,8,1,10,3,3,3,3,1,3
Pink Gold Peach,1,8,8,8,8,1,10,3,3,3,3,1,3
Wiggler,1,9,9,9,9,1,8,2,2,2,2,0,4
Waluigi,1,9,9,9,9,1,8,2,2,2,2,0,4
Donkey Kong,1,9,9,9,9,1,8,2,2,2,2,0,4
Roy,1,9,9,9,9,1,8,2,2,2,2,0,4
Wario,0,10,10,10,10,0,9,1,1,1,1,1,5
Dry Bowser,0,10,10,10,10,0,9,1,1,1,1,1,5
Funky Kong,0,10,10,10,10,0,9,1,1,1,1,1,5
Mii (Heavy),0,10,10,10,10,0,9,1,1,1,1,1,5
Bowser,0,10,10,10,10,0,10,0,0,0,0,0,6
Morton,0,10,10,10,10,0,10,0,0,0,0,0,6
