Name,Mini-Turbo,GroundS,WaterS,GliderS,AGS,Accel,Weight,GroundH,WaterH,GliderH,AGH,Traction,Invincibility
Cloud Glider,2,0,1,1,1,2,0,1,0,2,1,1,0
Parachute,2,0,1,1,1,2,0,1,0,2,1,1,0
Flower Glider,2,0,1,1,1,2,0,1,0,2,1,1,0
Paper Glider,2,0,1,1,1,2,0,1,0,2,1,1,0
Peach Parasol,2,0,0,1,1,2,1,1,1,2,0,0,0
Parafoil,2,0,0,1,1,2,1,1,1,2,0,0,0
Bowser Kite,2,0,0,1,1,2,1,1,1,2,0,0,0
MKTV Parafoil,2,0,0,1,1,2,1,1,1,2,0,0,0
Wario Wing,1,1,0,2,1,1,2,1,1,1,0,0,1
Plane Glider,1,1,0,2,1,1,2,1,1,1,0,0,1
Gold Glider,1,1,0,2,1,1,2,1,1,1,0,0,1
Paraglider,1,1,0,2,1,1,2,1,1,1,0,0,1
Super Glider,1,1,1,2,0,1,1,1,0,1,1,1,1
Waddle Wing,1,1,1,2,0,1,1,1,0,1,1,1,1
Hylian Kite,1,1,1,2,0,1,1,1,0,1,1,1,1
